name,company,image,for_gender,main accords,top notes,middle notes,base notes
Ambre & Tonka 100 Bon,100 Bon,https://fimgs.net/mdimg/perfume/375x500.90793.jpg,for women and men,"{'vanilla': '100', 'amber': '63.5616', 'sweet': '57.3287', 'citrus': '49.1781'}",,,
Labdanum & Pur Patchouli 100 Bon,100 Bon,https://fimgs.net/mdimg/perfume/375x500.44798.jpg,for women and men,"{'woody': '100', 'patchouli': '98.8527', 'earthy': '72.3708', 'amber': '67.957', 'warm spicy': '64.4262', 'balsamic': '60.1011', 'aromatic': '47.3014', 'musky': '45.1829'}",Ozonic notes,"Patchouli, Vetiver","Labdanum, Vanilla"
Myrrhe & Encens Myst챕rieux 100 Bon,100 Bon,https://fimgs.net/mdimg/perfume/375x500.44799.jpg,for women and men,"{'amber': '100', 'warm spicy': '87.2923', 'balsamic': '64.1653', 'woody': '57.0847', 'patchouli': '54.7691', 'smoky': '51.9694', 'cinnamon': '49.3846'}","Cinnamon, Citruses","Myrrh, Patchouli, Amberwood","Myrrh, Incense, Musk"
Nineveh 109 Parfums,109 Parfums,https://fimgs.net/mdimg/perfume/375x500.52422.jpg,for women and men,"{'amber': '100', 'sweet': '94.1667', 'cinnamon': '84.4446', 'warm spicy': '73.5554', 'vanilla': '68.8888', 'fruity': '57.2223', 'animalic': '49.4446', 'balsamic': '46.7221', 'powdery': '45.7501'}","Dates, Labdanum","Vanilla, Amber","Cinnamon, Ambergris"
Hobby Chic 10th Avenue Karl Antony,10th Avenue Karl Antony,https://fimgs.net/mdimg/perfume/375x500.40473.jpg,for women,"{'white floral': '100', 'coffee': '100', 'sweet': '94.7496', 'warm spicy': '89.4998', 'woody': '86', 'vanilla': '82.5002', 'fruity': '82.5002', 'patchouli': '64.9997', 'soft spicy': '59.7499', 'aquatic': '58'}","Coffee, Pear, Pink Pepper","Orange Blossom, Jasmine","Vanilla, Patchouli, Cedar"
Riposte Black 10th Avenue Karl Antony,10th Avenue Karl Antony,https://fimgs.net/mdimg/perfume/375x500.40478.jpg,for men,"{'woody': '100', 'fresh spicy': '77.8946', 'warm spicy': '77.8946', 'citrus': '68.6842', 'fruity': '66.842', 'patchouli': '66.842', 'rose': '66.842', 'floral': '50.2632', 'balsamic': '48.421', 'fresh': '48.421'}","Citruses, Black Currant","Rose, Black Pepper","Patchouli, Sandalwood"
Intrigue de l?섲mour 12 Parfumeurs Francais,12 Parfumeurs Francais,https://fimgs.net/mdimg/perfume/375x500.26333.jpg,for women,"{'woody': '100', 'honey': '94.8148', 'sweet': '79.8149', 'powdery': '79.537', 'nutty': '76.2963', 'vanilla': '70.7408', 'iris': '55.9261', 'floral': '52.0372', 'warm spicy': '44.8147'}",Hazelnut,"Sandalwood, Iris","White Honey, Vanilla"
Saint Cloud 12 Parfumeurs Francais,12 Parfumeurs Francais,https://fimgs.net/mdimg/perfume/375x500.42914.jpg,for women and men,"{'woody': '100', 'citrus': '86.4515', 'powdery': '60.1074', 'vanilla': '56.3441', 'soft spicy': '51.0751', 'fresh spicy': '49.9461', 'aromatic': '49.1935', 'warm spicy': '44.3009'}",,,
Secrets des Hommes 12 Parfumeurs Francais,12 Parfumeurs Francais,https://fimgs.net/mdimg/perfume/375x500.26330.jpg,for men,"{'iris': '100', 'powdery': '76.594', 'woody': '75.719', 'earthy': '68.4999', 'violet': '65', 'amber': '58.8751', 'patchouli': '56.2501', 'yellow floral': '56.2501', 'tuberose': '56.2501', 'sweet': '52.7502'}","Bergamot, Petitgrain, Lemon","Iris, Ylang-Ylang, Tuberose, Leather, Opoponax","Patchouli, Tuberose, Amber, Vanilla"
Versailles 12 Parfumeurs Francais,12 Parfumeurs Francais,https://fimgs.net/mdimg/perfume/375x500.33183.jpg,for women and men,"{'woody': '100', 'warm spicy': '93.3438', 'fruity': '83.6812', 'sweet': '79.1717', 'yellow floral': '70.7975', 'amber': '58.9877', 'musky': '58.9877', 'patchouli': '53.6199', 'white floral': '51.4723', 'citrus': '49.3252'}","Ylang-Ylang, Woody Notes, Lemon, Bergamot","Fruity Notes, Jasmine, Cloves","Oriental notes, Patchouli, White Musk"
