name,company,image,for_gender,main accords,top notes,middle notes,base notes
Angels' Share By Kilian,By Kilian,https://fimgs.net/mdimg/perfume/375x500.62615.jpg,for women and men,"{'woody': 100.0, 'sweet': 92.6987, 'warm spicy': 89.4303, 'vanilla': 78.3058, 'cinnamon': 67.3313, 'amber': 52.084, 'powdery': 46.3568, 'lactonic': 44.7526, 'aromatic': 44.5877}",['Cognac'],"['Cinnamon', 'Tonka Bean', 'Oak']","['Praline', 'Vanilla', 'Sandalwood']"
My Way  Giorgio Armani,Giorgio Armani,https://fimgs.net/mdimg/perfume/375x500.62036.jpg,for women,"{'white floral': 100.0, 'citrus': 60.4322, 'tuberose': 59.0888, 'animalic': 46.7757}","['Orange Blossom', 'Bergamot']","['Tuberose', 'Indian Jasmine']","['White Musk', 'Madagascar Vanilla', 'Virginian Cedar']"
Libre Intense  Yves Saint Laurent,Yves Saint Laurent,https://fimgs.net/mdimg/perfume/375x500.62318.jpg,for women,"{'vanilla': 100.0, 'aromatic': 71.4216, 'sweet': 69.9134, 'white floral': 69.338, 'lavender': 69.1826, 'amber': 68.4051, 'citrus': 67.861, 'powdery': 48.7517, 'floral': 48.5651, 'fresh spicy': 47.8188}","['Lavender', 'Mandarin Orange', 'Bergamot']","['Lavender', 'Tunisian Orange Blossom', 'Jasmine Sambac', 'Orchid']","['Madagascar Vanilla', 'Tonka Bean', 'Ambergris', 'Vetiver']"
Dior Homme 2020  Christian Dior,Christian Dior,https://fimgs.net/mdimg/perfume/375x500.58714.jpg,for men,"{'woody': 100.0, 'musky': 72.7229, 'amber': 53.4101, 'aromatic': 51.5617}","['Bergamot', 'Pink Pepper', 'elemi']","['Cashmere Wood', 'Atlas Cedar', 'Patchouli']","['Iso E Super', 'Haitian Vetiver', 'White Musk']"
Acqua di Giò Profondo  Giorgio Armani,Giorgio Armani,https://fimgs.net/mdimg/perfume/375x500.59532.jpg,for men,"{'aromatic': 100.0, 'marine': 93.2493, 'citrus': 79.7199, 'fresh spicy': 68.3193, 'woody': 67.7451, 'fresh': 62.493, 'mineral': 58.0112, 'musky': 45.126, 'salty': 44.902, 'patchouli': 44.4258}","['Sea Notes', 'Aquozone', 'Bergamot', 'Green Mandarin']","['Rosemary', 'Cypress', 'Lavender', 'Mastic or Lentisque']","['Mineral notes', 'Musk', 'Patchouli', 'Amber']"
Le Male Le Parfum  Jean Paul Gaultier,Jean Paul Gaultier,https://fimgs.net/mdimg/perfume/375x500.61856.jpg,for men,"{'warm spicy': 100.0, 'vanilla': 72.2173, 'aromatic': 60.6231, 'lavender': 58.2483, 'amber': 58.2173, 'powdery': 56.8204, 'iris': 53.592, 'woody': 53.3437}",['Cardamom'],"['Lavender', 'iris']","['Vanilla', 'Oriental notes', 'Woodsy Notes']"
Beau De Jour Eau de Parfum  Tom Ford,Tom Ford,https://fimgs.net/mdimg/perfume/375x500.59064.jpg,for men,"{'aromatic': 100.0, 'fresh spicy': 94.7562, 'lavender': 68.1606, 'woody': 62.7869, 'patchouli': 56.0894, 'green': 56.0375, 'earthy': 54.0645, 'mossy': 49.4697, 'amber': 49.0803, 'herbal': 48.1717}","['Lavender Extract', 'Lavender']","['Rosemary', 'Oakmoss', 'Mint', 'Basil', 'Geranium']","['Patchouli', 'Amber']"
Angel Nova  Mugler,Mugler,https://fimgs.net/mdimg/perfume/375x500.61519.jpg,for women,"{'fruity': 100.0, 'rose': 65.8115, 'sweet': 61.6736, 'oud': 57.181, 'woody': 54.1609, 'tropical': 51.216, 'warm spicy': 49.3889, 'amber': 44.6169, 'fresh': 44.144}","['Raspberry', 'Litchi']",['Damask Rose'],"['Akigalawood', 'Benzoin']"
L'Interdit Eau de Parfum Intense  Givenchy,Givenchy,https://fimgs.net/mdimg/perfume/375x500.62491.jpg,for women,"{'white floral': 100.0, 'vanilla': 83.8462, 'tuberose': 77.9933, 'patchouli': 60.6689, 'woody': 60.2007, 'aromatic': 57.0636, 'warm spicy': 54.9799, 'fresh spicy': 54.1137, 'earthy': 52.3813, 'animalic': 50.7191}",['Black Pepper'],"['Tuberose', 'Sesame', 'Orange Blossom']","['Madagascar Vanilla', 'Patchouli', 'Vetiver']"
L'Homme Idéal Extrême  Guerlain,Guerlain,https://fimgs.net/mdimg/perfume/375x500.60284.jpg,for men,"{'fruity': 100.0, 'sweet': 92.2085, 'almond': 90.6687, 'tobacco': 69.4193, 'leather': 66.6476, 'nutty': 60.4884, 'warm spicy': 60.1804, 'cinnamon': 57.7167, 'woody': 52.3889, 'powdery': 49.1861}","['Almond', 'Pink Pepper', 'Bergamot']","['Plum', 'Cinnamon', 'Heliotrope']","['Tobacco', 'Leather', 'Patchouli', 'Cedar']"
